Date,Solar Radiation,UV radiation,Highest Infrared radiation,Air temperature,N2O level,Antarctic mass(Gigatonnes),Antarctic mass 1-sigma uncertainty,DETER,DETER TTM,SAD,SAD TTM
2010-01,171.46,10.24,346.41,7.43,323.7,-803.23,33.03,23,2905,63,1915
2010-02,216.36,16.83,360.59,8.83,323.85,-807.45,32.76,185,2947,88,1941
2010-03,268.88,29.48,382.27,11.67,323.94,-688.18,34.51,52,2981,76,1960
2010-04,320.56,43.18,408.13,14.5,324.08,-759.94,32.2,52,2996,65,1904
2010-05,404.24,56.52,439.41,18.38,323.85,-780.91,32.63,110,2982,96,1843
2010-06,436.7,69.21,495.04,27.64,323.73,-794.11,38.44,244,2647,172,1865
2010-07,399.97,68.43,524.21,32.51,323.66,-998.22,35.63,485,2296,155,1488
2010-08,438.29,60.29,524.21,32.51,323.47,-927.15,34.62,265,2063,210,1425
2010-09,408.54,46.55,473.62,26.35,323.49,-848.74,36.4,448,2111,170,1379
2010-10,233.63,25.6,417.23,18.38,323.66,-880.52,38.44,389,2324,153,1338
2010-11,289.45,15.96,369.85,10.72,324.07,-901.4,39.59,121,2372,65,1329
2010-12,152.26,9.48,353.17,8.51,324.34,-913.5,40.67,21,2394,175,1488
2011-01,59.12,35.67,354.0,3.22,324.55,-1002.5,43.16,36,2407,83,1508
2011-02,312.99,20.55,355.97,7.61,324.61,-1019.46,41.62,1,2223,63,1483
2011-03,263.46,31.76,386.77,12.29,324.69,-1030.54,41.22,116,2287,46,1453
2011-04,361.09,49.52,417.09,15.7,324.76,-965.87,40.16,477,2712,298,1686
2011-05,354.81,57.65,435.09,18.38,324.77,-910.89,42.75,268,2871,165,1755
2011-06,462.87,72.5,484.02,25.8,324.56,-927.53,40.5,313,2940,99,1682
2011-07,365.09,65.51,499.66,29.75,324.44,-838.95,39.71,225,2680,93,1620
2011-08,422.91,63.33,502.03,30.6,324.27,-885.51,38.98,163,2578,240,1650
2011-09,320.61,42.52,470.46,26.21,324.45,-881.04,39.28,254,2384,170,1650
2011-10,329.31,29.28,419.77,19.3,324.78,-890.12,39.05,386,2381,102,1599
2011-11,237.5,14.89,361.94,9.82,325.03,-912.5,37.63,133,2393,16,1550
2011-12,246.91,9.78,342.09,6.6,325.38,-994.23,38.79,75,2446,40,1415
2012-01,264.89,12.18,351.95,8.73,325.63,-1148.72,39.05,22,2432,33,1365
2012-02,272.38,18.35,364.54,9.29,325.52,-1079.07,37.63,307,2737,107,1409
2012-03,282.64,32.18,388.96,13.09,325.78,-1142.04,38.79,60,2681,53,1416
2012-04,345.88,49.26,424.67,17.58,325.94,-1119.78,37.12,233,2437,71,1189
2012-05,446.85,65.42,468.77,23.7,325.85,-1058.11,43.32,99,2268,43,1067
2012-06,501.05,75.43,497.45,28.46,325.51,-1095.98,39.99,108,2062,35,1003
2012-07,379.94,64.99,503.87,29.91,325.0,-1062.92,38.8,214,2051,140,1050
2012-08,339.31,58.0,508.68,30.81,325.19,-984.31,37.7,522,2410,232,1042
2012-09,341.35,44.64,477.24,27.17,325.03,-946.95,41.16,283,2439,431,1303
2012-10,323.88,27.66,419.93,19.39,325.56,-1068.66,41.62,277,2331,487,1688
2012-11,271.04,15.81,379.8,13.45,325.96,-1119.01,39.53,205,2403,55,1727
2012-12,188.28,9.32,346.5,6.95,326.19,-1220.35,37.8,131,2459,82,1769
2013-01,271.62,12.25,342.11,6.04,326.26,-1289.04,38.98,9,2447,35,1771
2013-02,312.88,19.72,359.93,8.25,326.59,-1397.17,40.16,270,2410,45,1709
2013-03,305.23,34.73,402.55,15.23,326.65,-1135.95,41.36,28,2378,80,1736
2013-04,361.53,49.23,427.41,18.29,326.72,-1239.69,37.57,147,2293,140,1805
2013-05,390.72,59.73,457.77,22.27,326.78,-1247.7,38.44,465,2659,84,1846
2013-06,436.0,68.95,505.62,29.77,326.68,-1209.4,37.79,210,2762,184,1995
2013-07,325.17,61.55,517.14,31.77,326.58,-1300.65,38.01,217,2766,152,2007
2013-08,355.56,57.12,495.0,29.25,326.24,-1348.83,36.03,289,2532,185,1960
2013-09,322.48,42.48,463.3,24.73,326.09,-1399.28,35.45,443,2692,103,1632
2013-10,332.89,25.99,404.21,16.54,326.46,-1410.35,32.5,155,2569,43,1188
2013-11,241.26,14.89,371.25,11.99,326.72,-1456.25,35.3,108,2472,37,1170
2013-12,277.72,10.63,343.05,7.04,327.02,-1478.31,38.6,93,2434,56,1144
2014-01,241.0,12.54,358.66,10.58,327.05,-1505.62,40.12,75,2500,107,1216
2014-02,237.71,18.96,370.49,10.96,327.22,-1616.41,32.35,119,2349,11,1182
2014-03,304.74,32.84,396.7,14.15,327.47,-1536.53,33.19,53,2374,20,1122
2014-04,321.48,44.72,424.51,17.81,327.53,-1443.89,33.14,166,2394,100,1082
2014-05,367.06,58.48,459.19,22.83,327.87,-1486.34,35.04,271,2200,185,1183
2014-06,445.57,70.36,499.09,28.71,327.67,-1534.21,33.51,535,2525,843,1842
2014-07,347.0,66.55,516.57,31.77,327.12,-1361.63,33.0,729,3036,355,2045
2014-08,354.98,55.3,485.43,28.17,327.56,-1451.22,31.99,890,3638,437,2297
2014-09,371.6,45.71,473.76,26.66,327.71,-1526.95,31.56,736,3931,402,2596
2014-10,336.95,29.99,429.32,21.13,327.86,-1560.95,32.3,298,4074,244,2797
2014-11,287.37,16.09,377.07,12.94,328.2,-1678.45,34.8,77,4043,195,2955
2014-12,163.05,9.26,347.79,7.78,328.34,-1789.5,33.8,85,4035,95,2994
2015-01,214.11,11.44,357.13,9.83,328.48,-1828.8,35.31,129,4089,289,3176
2015-02,306.09,21.08,382.46,13.36,328.61,-1904.53,56.93,61,4031,42,3207
2015-03,308.63,33.11,404.76,16.0,328.61,-1874.87,30.75,155,4133,58,3245
2015-04,352.36,45.79,424.07,17.04,328.7,-1852.67,32.24,334,4301,137,3282
2015-05,311.08,51.54,446.33,20.41,328.78,-1779.22,34.83,588,4618,389,3486
2015-06,374.52,65.04,507.31,29.9,328.68,-1743.89,37.19,855,4937,494,3137
2015-07,369.25,63.3,497.77,29.08,328.34,-1898.43,34.62,914,5122,542,3324
2015-08,337.12,56.41,504.3,31.04,328.25,-1851.11,36.97,654,4885,415,3302
2015-09,347.02,45.49,479.96,27.48,328.26,-1894.2,36.86,504,4653,229,3129
2015-10,244.9,25.08,419.87,19.77,328.55,-1875.65,34.9,377,4732,230,3115
2015-11,285.87,15.03,361.6,9.74,328.78,-1885.23,35.2,240,4896,99,3019
2015-12,227.97,9.73,338.28,5.65,329.09,-1892.7,35.37,89,4899,175,3099
2016-01,181.92,10.27,343.75,6.67,329.33,-1918.8,35.36,63,4832,52,2862
2016-02,328.07,21.24,372.12,11.44,329.4,-1995.0,34.1,534,5305,52,2820
2016-03,269.1,31.58,396.25,14.19,329.42,-1930.13,35.08,123,5274,213,2975
2016-04,285.03,42.81,420.99,17.58,329.51,-1792.21,37.4,436,5375,183,3021
2016-05,340.68,54.36,449.11,20.64,329.59,-1776.79,34.44,784,5571,474,3106
2016-06,411.36,70.57,511.58,30.16,329.41,-1655.8,34.27,1431,6147,972,3584
2016-07,442.19,73.31,516.3,31.9,329.37,-1602.79,36.53,738,5971,539,3581
2016-08,377.37,59.54,508.78,30.52,329.11,-1672.23,61.29,1023,5921,582,3748
2016-09,372.99,45.27,467.4,25.2,329.06,-1586.0,61.17,688,5889,387,3906
2016-10,287.58,27.14,422.94,19.92,329.35,-1589.14,60.89,741,5858,202,3878
2016-11,279.24,17.01,378.18,12.95,329.68,-1593.16,59.8,366,5890,37,3816
2016-12,199.46,10.56,343.63,6.67,330.01,-1599.56,60.0,17,5866,37,3641
2017-01,209.05,11.37,345.64,6.76,330.26,-1606.11,60.6,58,6938,42,3631
2017-02,204.48,18.32,370.46,10.85,330.44,-1931.62,61.91,101,6505,42,3631
2017-03,301.47,34.09,402.78,15.39,330.58,-1850.99,61.28,74,6456,97,3515
2017-04,342.19,47.09,426.7,17.42,330.45,-1815.85,59.9,125,6145,96,3428
2017-05,396.4,58.54,467.46,22.25,330.38,-1814.34,59.83,348,5709,365,3319
2017-06,459.88,71.26,518.4,29.76,329.78,-1826.36,50.6,589,4868,537,2884
2017-07,352.4,63.69,536.64,32.39,330.45,-1856.25,45.89,455,4585,544,2889
2017-08,345.16,56.43,516.43,29.99,328.45,-1889.65,43.58,289,3852,184,2491
2017-09,322.59,40.67,473.2,24.49,329.75,-1895.32,41.78,393,3556,241,2345
2017-10,362.09,28.17,425.64,19.31,330.43,-1915.95,42.56,456,3272,261,2404
2017-11,258.37,17.23,387.8,14.28,331.08,-1929.78,40.78,359,3265,56,2423
2017-12,260.1,10.7,357.0,9.57,331.24,-1965.78,37.87,289,3538,184,2607
2018-01,222.75,11.44,362.09,10.42,331.19,-1984.45,35.1,179,3659,70,2635
2018-02,288.37,18.43,367.06,9.26,331.49,-1999.44,31.43,151,3708,214,2849
2018-03,280.01,29.45,388.07,12.01,331.37,-2258.93,30.3,358,3993,287,3039
2018-04,348.19,47.67,442.69,19.13,331.53,-2224.34,28.2,508,4376,217,3160
2018-05,367.44,56.69,471.04,22.35,331.59,-2277.92,27.41,538,4565,634,3429
2018-06,480.17,72.71,522.62,29.64,331.29,-2286.54,26.56,505,4481,1169,4061
2018-07,345.69,64.06,551.43,32.73,331.18,-2291.32,27.32,610,4635,778,4295
2018-08,362.13,56.78,537.07,31.51,330.87,-2293.45,26.45,520,4865,545,4656
2018-09,399.61,47.13,489.73,27.37,331.03,-2312.82,27.91,723,5195,444,4859
2018-10,330.03,27.35,425.38,18.32,331.34,-2335.61,25.89,491,5230,187,4785
2018-11,279.07,15.96,376.04,12.07,331.71,-2347.94,26.81,265,5136,287,5016
2018-12,211.34,9.88,347.65,7.6,331.95,-2359.65,27.05,67,4914,246,5078
2019-01,203.97,12.24,349.13,7.96,332.2,-2368.66,27.15,140,4875,108,5116
2019-02,237.35,17.98,345.8,5.74,332.45,-2411.65,27.11,131,4855,93,4995
2019-03,280.64,31.39,387.36,11.94,332.46,-2315.96,27.6,242,4739,67,4775
2019-04,312.52,46.03,438.12,17.93,332.48,-2135.25,28.37,238,4468,195,4753
2019-05,317.06,49.59,441.1,17.94,332.47,-2187.12,29.04,702,4633,797,4916
2019-06,403.0,65.03,519.43,27.31,332.23,-2279.94,29.79,919,5048,801,4548
2019-07,398.23,67.17,537.31,30.91,332.01,-2183.65,30.71,2092,6530,1287,5054
2019-08,411.59,61.49,531.08,30.9,331.72,-2228.62,31.57,1695,7706,886,5398
2019-09,342.24,42.89,482.35,25.32,331.84,-2100.59,32.6,1443,8427,802,5756
2019-10,367.58,27.95,413.16,16.54,332.03,-2281.08,33.45,555,8491,583,6152
2019-11,256.04,15.22,374.8,12.37,332.38,-2341.65,39.41,523,8749,342,6219
2019-12,161.34,8.71,338.7,6.45,332.55,-2387.01,46.54,187,8870,227,6200
