Date,Downwelling global solar,Upwelling solar,Direct solar,PAR,UVB,Diffuse solar,Downwelling infrared,Upwelling infrared,Air temperature,Wind,Relative humidity,Station pressure,Net solar,Net infrared,Total net radiation,Conversion factor,Transmission,Albedo,Specific humidity,Virtual temperature
2010-01,113.19,22.51,171.46,48.36,10.24,45.69,271.9,346.41,7.43,3.4,50.59,903.54,90.69,-74.51,16.17,0.436,0.564,0.196,3.45,8.017
2010-02,160.52,31.54,216.36,68.68,16.83,52.95,280.56,360.59,8.83,2.86,55.79,901.98,128.98,-80.02,48.94,0.436,0.613,0.194,4.2,9.541
2010-03,228.24,45.68,268.88,96.17,29.48,73.9,271.79,382.27,11.67,4.32,34.66,902.74,182.56,-110.49,72.07,0.423,0.682,0.199,3.037,12.182
2010-04,289.19,58.7,320.56,125.43,43.18,82.5,285.58,408.13,14.5,4.94,30.6,898.44,230.53,-122.55,107.96,0.437,0.695,0.203,3.196,15.049
2010-05,337.68,68.51,404.24,146.49,56.52,66.08,298.21,439.41,18.38,5.27,22.6,898.62,269.2,-141.2,128.01,0.436,0.727,0.203,3.148,18.928
2010-06,361.02,74.2,436.7,157.7,69.21,60.95,342.23,495.04,27.64,4.86,17.36,897.47,286.83,-152.82,134.02,0.437,0.745,0.206,4.355,28.401
2010-07,339.62,70.09,399.97,149.37,68.43,67.21,375.83,524.21,32.51,4.15,14.82,897.43,269.54,-148.16,121.69,0.442,0.718,0.206,5.288,33.447
2010-08,330.57,67.38,438.29,144.52,60.29,45.02,-9999.9,-9999.9,-9999.9,4.97,-9999.9,897.86,262.41,-9999.9,-9999.9,0.437,0.756,0.204,-9999.9,-9999.9
2010-09,276.75,59.72,408.54,119.05,46.55,36.85,324.11,473.62,26.35,3.47,14.06,899.17,217.03,-148.05,71.3,0.43,0.76,0.216,3.283,26.924
2010-10,176.19,36.31,233.63,78.14,25.6,56.2,319.78,417.23,18.38,3.39,39.87,903.8,139.91,-97.43,42.5,0.45,0.621,0.203,5.595,19.352
2010-11,151.78,32.29,289.45,65.51,15.96,32.07,266.33,369.85,10.72,4.54,34.97,905.08,119.53,-103.51,16.01,0.434,0.708,0.21,3.195,11.263
2010-12,95.85,19.51,152.26,42.28,9.48,38.15,287.59,353.17,8.51,3.34,56.74,903.57,76.38,-65.58,10.79,0.455,0.532,0.201,4.369,9.257
2011-01,29.06,256.53,59.12,13.4,35.67,257.52,347.08,354,3.22,44.13,907.57,107.75,-89.56,18.29,0.435,0.691,0.212,3.037,8.009,
2011-02,188.54,40.01,312.99,81.13,20.55,40.64,251.33,355.97,7.61,4.6,38.54,904.03,148.57,-104.65,43.91,0.432,0.724,0.211,2.728,8.071
2011-03,225.7,46.85,263.46,98.6,31.76,75.21,279.63,386.77,12.29,4.46,36.71,902.15,178.88,-107.15,71.73,0.439,0.663,0.207,3.45,12.881
2011-04,298.33,61.78,361.09,128.5,49.52,66.18,283.68,417.09,15.7,4.82,25.98,899.53,236.59,-133.41,103.15,0.433,0.73,0.207,3.125,16.234
2011-05,318.13,63.8,354.81,137.43,57.65,80.86,300.91,435.09,18.38,4.77,27.2,898.03,254.37,-134.18,120.19,0.437,0.685,0.199,3.628,19.006
2011-06,371.22,75.28,462.87,159.83,72.5,52.86,324.48,484.02,25.8,4.8,16.69,896.63,295.96,-159.54,136.39,0.431,0.764,0.203,3.783,26.463
2011-07,315.76,63.46,365.09,138.7,65.51,71.57,366.51,499.66,29.75,4.17,22.75,898.2,252.33,-133.16,119.18,0.445,0.67,0.199,6.466,30.898
2011-08,323.94,65,422.91,139.82,63.33,48.95,354.92,502.03,30.6,3.7,17.35,898.97,258.96,-147.11,111.85,0.433,0.751,0.2,5.14,31.509
2011-09,250.13,50.55,320.61,108.61,42.52,59.28,343.05,470.46,26.21,2.89,23.2,901.59,199.62,-127.41,72.26,0.438,0.685,0.201,5.073,27.097
2011-10,205.09,42.28,329.31,87.97,29.28,38.89,303.01,419.77,19.3,3.41,24.47,902.79,162.85,-116.81,46.15,0.433,0.72,0.205,3.666,19.933
2011-11,141.11,29.58,237.5,60.36,14.89,42.1,267.94,361.94,9.82,3.08,37.82,904.72,111.56,-94,17.55,0.432,0.659,0.207,2.975,10.324
2011-12,123.23,26.46,246.91,52.42,9.78,30.92,251.36,342.09,6.6,3.53,33.27,907.39,96.82,-90.73,6.09,0.429,0.682,0.211,2.133,6.953
2012-01,139.41,29.63,264.89,59.39,12.18,35.51,256.83,351.95,8.73,3.4,26.89,907.68,109.8,-95.13,14.68,0.43,0.7,0.21,2.019,9.069
2012-02,177.9,36.77,272.38,75.97,18.35,49.39,266.03,364.54,9.29,3.73,35.65,903.45,141.17,-98.5,42.68,0.431,0.684,0.204,2.695,9.769
2012-03,230.19,47.91,282.64,99.66,32.18,69.18,277.84,388.96,13.09,4.73,29.03,901.05,182.31,-111.09,71.25,0.436,0.687,0.207,2.896,13.58
2012-04,296.52,61.25,345.88,129.55,49.26,70.75,296.04,424.67,17.58,4.44,24.61,900.25,235.31,-128.62,106.67,0.44,0.711,0.206,3.169,18.144
2012-05,364.31,76.13,446.85,157.66,65.42,57.33,308.81,468.77,23.7,4.86,13.25,897.74,288.2,-159.96,128.23,0.433,0.781,0.209,2.585,24.146
2012-06,384.22,81.24,501.05,166.45,75.43,43.02,328.91,497.45,28.46,5.17,10.86,896.54,303,-168.55,134.51,0.433,0.794,0.211,2.947,28.977
2012-07,322.5,66.57,379.94,143.89,64.99,67.8,367.65,503.87,29.91,3.97,22.33,899.94,255.97,-136.22,119.75,0.452,0.686,0.205,6.134,31.001
2012-08,294.32,59.05,339.31,132.97,58,70.26,389.21,508.68,30.81,3.67,29.72,900.3,235.33,-119.47,115.87,0.457,0.683,0.2,8.631,32.349
2012-09,259.29,52.98,341.35,114.82,44.64,55.07,349.2,477.24,27.17,3.2,20.87,902.51,206.33,-128.04,78.29,0.445,0.711,0.204,5.131,28.074
2012-10,201.82,42.16,323.88,89.18,27.66,39.84,306.9,419.93,19.39,3.46,27.57,902.38,159.69,-113.03,46.65,0.444,0.714,0.207,3.941,20.077
2012-11,149.42,31.57,271.04,65.29,15.81,36.19,283.28,379.8,13.45,3.56,33.5,905.48,117.89,-96.52,21.37,0.438,0.699,0.209,3.412,14.034
2012-12,110.04,23.1,188.28,45.94,9.32,39.14,271.01,346.5,6.95,3.47,51.67,903.52,87,-75.49,11.5,0.424,0.613,0.206,3.629,7.622
2013-01,138.71,29.38,271.62,59.24,12.25,32.46,250.61,342.11,6.04,4.32,35.58,908.04,109.39,-91.5,17.88,0.432,0.692,0.208,2.378,6.438
2013-02,188.24,39.48,312.88,80.97,19.72,38.5,254.47,359.93,8.25,3.9,32.35,904.87,148.81,-105.46,43.34,0.432,0.717,0.208,2.332,8.659
2013-03,240.63,49.04,305.23,104.29,34.73,62.97,287.84,402.55,15.23,3.84,26.07,902.74,191.64,-115.07,77.94,0.437,0.701,0.202,2.863,15.724
2013-04,299.25,62.46,361.53,131.11,49.23,66.86,295.59,427.41,18.29,4.36,20.04,899.55,236.83,-132.26,94.47,0.44,0.73,0.208,2.799,18.767
2013-05,336.25,69.15,390.72,146.45,59.73,70.5,315.68,457.77,22.27,4.7,20.98,899.38,267.14,-142.09,125.05,0.439,0.721,0.205,3.586,22.891
2013-06,360.85,74.85,436,155.74,68.95,62.06,346.34,505.62,29.77,4.36,12.85,897.17,286.03,-159.28,126.76,0.432,0.745,0.207,3.8,30.438
2013-07,308.37,63.25,325.17,137.13,61.55,84.03,389.58,517.14,31.77,3.91,25.28,899.38,245.17,-127.57,117.62,0.456,0.652,0.204,7.665,33.133
2013-08,297.98,60.26,355.56,130.83,57.12,65.54,365.09,495,29.25,3.89,24.03,900.72,237.75,-129.9,107.84,0.444,0.69,0.201,6.57,30.413
2013-09,250.65,51.33,322.48,110.44,42.48,58.18,348.52,463.3,24.73,4.23,31.76,899.49,199.37,-114.78,84.58,0.444,0.688,0.204,7.019,25.972
2013-10,202.77,42.73,332.89,88.43,25.99,36.77,290.36,404.21,16.54,3.6,28.55,902.61,160.07,-113.85,46.22,0.438,0.714,0.209,3.372,17.122
2013-11,135.83,28.6,241.26,60.26,14.89,34.38,285,371.25,11.99,2.9,41.38,905.19,107.26,-86.25,21.01,0.452,0.633,0.209,3.671,12.621
2013-12,128.93,27.7,277.72,55.98,10.63,26.9,252.96,343.05,7.04,3.76,36.64,907.85,101.28,-90.09,11.18,0.436,0.711,0.212,2.492,7.464
2014-01,133.77,28.49,241,58.3,12.54,38.32,268.1,358.66,10.58,3.15,25.53,907.99,105.3,-90.56,14.73,0.439,0.669,0.211,2.164,10.942
2014-02,168.8,35.29,237.71,74.55,18.96,53.77,276.06,370.49,10.96,2.87,33.78,902.9,133.54,-94.42,39.2,0.447,0.645,0.207,2.863,11.443
2014-03,239.42,49.95,304.74,104.7,32.84,64.55,281.43,396.7,14.15,4.11,28.59,903.12,189.51,-115.27,74.24,0.44,0.698,0.207,2.958,14.661
2014-04,284.71,59.54,321.48,124.5,44.72,77.27,294.95,424.51,17.81,4.53,20.25,900.38,225.22,-129.5,95.72,0.439,0.695,0.208,2.621,18.258
2014-05,334.19,70.07,367.06,146.41,58.48,81.84,313.4,459.19,22.83,5.01,16.69,899.41,264.15,-145.8,118.35,0.438,0.716,0.209,2.85,23.32
2014-06,365.41,77.48,445.57,160.17,70.36,58.86,334.39,499.09,28.71,4.42,10.75,895.94,287.94,-164.7,123.24,0.439,0.755,0.211,3.007,29.239
2014-07,316.56,65.4,347,144.26,66.55,77.29,383.45,516.57,31.77,4.11,20.89,900.83,251.34,-133.12,118.12,0.459,0.666,0.205,6.562,32.931
2014-08,290.18,59.06,354.98,129.55,55.3,58.7,358.3,485.43,28.17,3.67,25.66,900.94,231.2,-127.13,104.05,0.452,0.675,0.201,6.29,29.28
2014-09,262.66,54.21,371.6,117.81,45.71,42.06,348.2,473.76,26.66,3.31,26.28,899.45,208.47,-125.56,82.92,0.45,0.72,0.205,6.054,27.73
2014-10,209.25,44.49,336.95,92.31,29.99,36.05,309.82,429.32,21.13,3.18,19.62,902.67,164.78,-119.5,45.28,0.442,0.735,0.212,3.383,21.716
2014-11,152.25,33.43,287.37,67.4,16.09,32.86,276.75,377.07,12.94,3.39,26.44,905.76,118.86,-100.32,18.58,0.443,0.709,0.217,2.731,13.408
2014-12,103.97,20.72,163.05,41.59,9.26,41.42,277.88,347.79,7.78,2.93,58.88,906.3,83.27,-69.91,13.37,0.408,0.577,0.195,4.439,8.542
2015-01,123.52,25.58,214.11,53.88,11.44,38.09,279.3,357.13,9.83,3,42.12,909.02,97.97,-77.96,20.83,0.442,0.618,0.202,3.523,10.426
2015-02,187.46,38.58,306.09,81.5,21.08,41.45,278.83,382.46,13.36,3.48,33.05,904.74,148.9,-103.38,47.82,0.436,0.719,0.204,3.232,13.912
2015-03,236.29,48.25,308.63,102.2,33.11,58.56,290.48,404.76,16,3.26,28.09,904.86,188.07,-114.26,73.97,0.435,0.689,0.202,3.07,16.528
2015-04,298.21,63.86,352.36,128.99,45.79,68.2,283.8,424.07,17.04,4.67,19.3,900.04,239.32,-138.24,99.09,0.435,0.722,0.208,2.484,17.469
2015-05,308.5,62.51,311.08,134.5,51.54,94.24,319.47,446.33,20.41,4.32,26.73,898.04,246.02,-126.86,119.17,0.439,0.666,0.202,4.091,21.121
2015-06,336.68,69.2,374.52,144.74,65.04,80.07,352.75,507.31,29.9,4.11,14.32,897.77,267.5,-152.58,120.14,0.433,0.697,0.205,4.056,30.611
2015-07,317.57,63.87,369.25,138.01,63.3,68.37,363.97,497.77,29.08,4.22,23.45,900.05,253.79,-133.8,120,0.44,0.673,0.199,6.261,30.189
2015-08,290.98,59.31,337.12,126.97,56.41,68.85,372.69,504.3,31.04,3.87,19.67,900.05,231.79,-131.61,100.18,0.44,0.674,0.202,5.983,32.1
2015-09,260.82,55.14,347.02,113.53,45.49,53.65,350.31,479.96,27.48,3.75,21.1,899.78,205.71,-129.65,76.05,0.436,0.714,0.211,5.319,28.418
2015-10,171.18,34,244.9,74.75,25.08,48.07,328.92,419.87,19.77,2.95,44.71,903.26,137.22,-90.96,46.26,0.446,0.605,0.195,6.744,20.948
2015-11,151.77,30.99,285.87,64.09,15.03,31.14,261.35,361.6,9.74,4.06,35.27,904.15,115.48,-99.84,15.62,0.424,0.705,0.209,2.86,10.224
2015-12,120.27,25.9,227.97,50.94,9.73,35.18,252.95,338.28,5.65,3.33,42.16,904.61,94.47,-85.41,9.37,0.426,0.668,0.212,2.589,6.085
2016-01,114.75,23.92,181.92,49.12,10.27,41.45,270.51,343.75,6.67,3.1,51.03,906.24,92.18,-75.26,18.36,0.438,0.574,0.203,3.379,7.242
2016-02,192.73,40.49,328.07,81.53,21.24,37.81,266.45,372.12,11.44,3.62,35.07,908.39,152.35,-105.67,46.6,0.424,0.738,0.209,3.071,11.959
2016-03,225.8,46.88,269.1,96.34,31.58,68.95,284.01,396.25,14.19,4.14,31.1,901.44,178.96,-111.91,65.12,0.43,0.669,0.206,3.152,14.73
2016-04,266.72,53.52,285.03,116.28,42.81,83.65,304.16,420.99,17.58,4.09,31.51,901.28,204.38,-116.84,90.62,0.441,0.64,0.205,3.892,18.08
2016-05,317.92,56.02,340.68,136.13,54.36,81.41,316.55,449.11,20.64,4.4,27.68,898.94,214.76,-132.56,88.75,0.429,0.679,-9999.9,4.252,21.381
2016-06,353.44,70.49,411.36,153.74,70.57,69.04,354.37,511.58,30.16,4.55,15.14,899.11,257.57,-155,97.35,0.437,0.729,0.215,4.34,30.916
2016-07,355.83,76.96,442.19,155.05,73.31,53.24,363.85,516.3,31.9,4.73,15.5,899.54,279,-152.45,126.54,0.436,0.752,0.216,4.93,32.768
2016-08,307.99,69.06,377.37,137.07,59.54,56.93,363.59,508.78,30.52,4.01,17.61,899.93,239.11,-145.19,93.92,0.445,0.716,0.224,5.245,31.445
2016-09,261.8,59.98,372.99,116.05,45.27,40.85,329.87,467.4,25.2,4.03,18.64,901.42,201.91,-137.53,64.39,0.444,0.72,0.228,4.026,25.9
2016-10,190.99,42.56,287.58,83.8,27.14,44.55,312.66,422.94,19.92,4.25,29.85,902.48,148.49,-110.28,38.21,0.444,0.674,0.22,4.58,20.718
2016-11,148.37,32.64,279.24,63.99,17.01,32.32,277.45,378.18,12.95,3.19,34.92,906.08,115.77,-100.74,15.03,0.434,0.694,0.217,3.499,13.55
2016-12,111.2,24.22,199.46,47.97,10.56,36.71,265.19,343.63,6.67,3.51,44.06,905.93,87,-78.44,8.56,0.438,0.616,0.213,3.039,7.182
2017-01,120.38,25.28,209.05,51.28,11.37,36.55,271.97,345.64,6.76,4.46,54.5,904.6,95.14,-73.67,21.46,0.439,0.596,0.207,3.708,7.435
2017-02,153.93,31.79,204.48,67.35,18.32,55.38,289.23,370.46,10.85,4.63,49.5,902.65,122.16,-81.24,40.93,0.448,0.589,0.203,4.427,11.607
2017-03,233.15,48.9,301.47,100.75,34.09,62.3,288.32,402.78,15.39,4.17,27.21,904.4,184.31,-114.46,69.84,0.434,0.682,0.209,3.185,15.935
2017-04,289.73,61.19,342.19,124.26,47.09,72.39,294.12,426.7,17.42,5.31,21.17,900.59,230.49,-132.58,97.51,0.432,0.714,0.209,2.852,17.914
2017-05,336.68,72.67,396.4,148.92,58.54,71.24,319.61,467.46,22.25,4.31,20.54,898.45,264.59,-147.85,116.74,0.438,0.726,0.215,3.537,22.863
2017-06,366.73,82.49,459.88,162.48,71.26,52.41,353.17,518.4,29.76,4.73,12.87,897.46,285.19,-165.23,119.95,0.436,0.757,0.223,3.676,30.402
2017-07,321.68,71.79,352.4,142.95,63.69,79.45,399.16,536.64,32.39,3.76,21.24,900.54,251.35,-137.48,113.87,0.438,0.688,0.218,6.798,33.598
2017-08,292.66,64.5,345.16,129.37,56.43,65.17,389.45,516.43,29.99,3.43,24.84,900.72,229.81,-126.98,102.84,0.437,0.679,0.215,7.045,31.236
2017-09,253.53,55.55,322.59,110.61,40.67,60.49,350.78,473.2,24.49,3.9,27,900.51,199.28,-122.41,76.87,0.43,0.697,0.214,5.817,25.512
2017-10,217.16,48.12,362.09,92.23,28.17,33.87,298.9,425.64,19.31,3.57,16.76,903.24,169.83,-126.74,43.08,0.418,0.765,0.217,2.605,19.758
2017-11,150.55,33.73,258.37,64.66,17.23,39.9,289.37,387.8,14.28,3.63,32.12,904.53,117.31,-98.43,18.87,0.426,0.702,0.219,3.645,14.911
2017-12,128.71,29.61,260.1,53.96,10.7,32.44,260.66,357,9.57,3.67,20.38,908.94,99.49,-96.34,3.15,0.415,0.713,0.224,1.608,9.841
2018-01,129.01,27.86,222.75,55.43,11.44,38.71,278.65,362.09,10.42,3.17,40.75,908.21,101.41,-83.43,17.97,0.432,0.643,0.211,3.41,11.005
2018-02,182.89,40.16,288.37,77.71,18.43,44.47,262.08,367.06,9.26,3.77,29.43,904.47,143.2,-104.98,38.22,0.422,0.7,0.215,2.324,9.649
2018-03,222.42,46.99,280.01,95.26,29.45,60.41,283.61,388.07,12.01,5.11,35.22,902.89,175.89,-104.47,71.43,0.43,0.662,0.207,3.413,12.599
2018-04,298.74,61.78,348.19,128.96,47.67,71.94,305.07,442.69,19.13,4.79,18.35,900.64,236.96,-137.62,99.33,0.426,0.717,0.206,2.705,19.598
2018-05,327.42,67.07,367.44,141.75,56.69,74.1,333.19,471.04,22.35,4.24,24.85,898.59,260.35,-137.86,122.49,0.429,0.701,0.204,4.189,23.077
2018-06,376.71,78.15,480.17,159.95,72.71,47.95,350.19,522.62,29.64,4.6,11.31,897.08,298.56,-172.43,126.12,0.412,0.778,0.207,3.24,30.202
2018-07,319.02,65.39,345.69,140.74,64.06,77.1,411.33,551.43,32.73,3.79,23.22,901.49,253.55,-140.1,113.49,0.422,0.672,0.204,7.791,34.114
2018-08,309.8,63.25,362.13,132.6,56.78,70.18,389.56,537.07,31.51,4.15,17.54,900.05,246.56,-147.51,99.05,0.411,0.718,0.204,5.746,32.53
2018-09,275.63,56.1,399.61,115.6,47.13,39.3,346.42,489.73,27.37,3.82,14.88,899.49,219.53,-143.32,76.22,0.411,0.755,0.203,3.801,28.03
2018-10,205.96,42.51,330.03,87.77,27.35,38.56,310.02,425.38,18.32,3.82,29.46,902.67,163.47,-115.35,48.11,0.422,0.726,0.206,4.42,19.088
2018-11,151.36,31.82,279.07,64.54,15.96,34.12,273.63,376.04,12.07,3.6,24.26,906.05,119.56,-102.42,17.13,0.423,0.706,0.209,2.315,12.468
2018-12,115.42,24,211.34,50.02,9.88,36.58,269.18,347.65,7.6,3.19,41.78,906.82,91.44,-78.47,12.97,0.433,0.64,0.205,2.955,8.098
2019-01,120.26,24.32,203.97,52.65,12.24,38.76,272.95,349.13,7.96,3.67,50.33,907.65,95.97,-76.18,19.79,0.441,0.598,0.199,3.691,8.591
2019-02,161.62,32.58,237.35,69.78,17.98,47.17,260.91,345.8,5.74,4.66,50.17,901.11,129.08,-84.89,44.19,0.441,0.616,0.2,3.221,6.287
2019-03,221.33,44.5,280.64,95.92,31.39,60.51,288.85,387.36,11.94,4.39,43.64,903.08,176.86,-98.51,78.35,0.434,0.661,0.199,3.972,12.618
2019-04,278.44,57.07,312.52,122.32,46.03,75.36,322.08,438.12,17.93,4.24,30.86,900.62,221.37,-116.04,105.33,0.436,0.67,0.204,4.049,18.632
2019-05,304.28,61.57,317.06,133.95,49.59,85.62,328.29,441.1,17.94,4.26,36.65,897.72,242.72,-112.8,129.93,0.435,0.651,0.202,4.866,18.782
2019-06,350.21,72.44,403,154.4,65.03,69.41,373.62,519.43,27.31,4.6,16.78,899.14,277.77,-145.81,131.98,0.419,0.722,0.206,4.145,28.04
2019-07,334.43,70.15,398.23,147.44,67.17,63.85,394.52,537.31,30.91,4.15,15.06,899.83,264.26,-142.79,121.47,0.424,0.707,0.21,4.69,31.734
2019-08,318.18,68.27,411.59,138.29,61.49,49.52,386.09,531.08,30.9,3.62,13.53,899.97,249.91,-144.99,104.93,0.421,0.738,0.215,4.223,31.642
2019-09,255.46,55.49,342.24,111.97,42.89,52.26,354.52,482.35,25.32,4.22,20.04,899.94,199.99,-127.84,72.15,0.428,0.701,0.217,4.546,26.121
2019-10,218.96,49.16,367.58,93.81,27.95,33.19,287.61,413.16,16.54,3.83,13.96,903.56,169.82,-125.55,44.26,0.419,0.767,0.224,1.872,16.863
2019-11,140.31,31.27,256.04,60.93,15.22,32.06,283.66,374.8,12.37,2.95,32.6,903.48,109.04,-91.14,17.89,0.44,0.649,0.22,2.699,12.881
2019-12,103.71,21.59,161.34,45.99,8.71,42.98,273.87,338.7,6.45,2.9,59.6,906.71,82.13,-64.84,17.28,0.449,0.572,0.205,4.024,7.128
